"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm001255",19.479,19.748,19.875,19.748
"PladumEVm001258",8.928,8.816,6.774,8.816
"PladumEVm001260",40.958,31.949,17.627,31.949
"PladumEVm001267",7.288,7.936,4.889,7.288
"PladumEVm001268",10.848,9.749,7.503,9.749
"PladumEVm001270",10.007,9.435,5.92,9.435
"PladumEVm001271",6.147,8.137,5.684,6.147
"PladumEVm001273",17.125,20.049,18.091,18.091
"PladumEVm001279",14.857,17.27,15.063,15.063
"PladumEVm001283",8.051,8.706,6.432,8.051
"PladumEVm001284",15.988,18.445,22.856,18.445
"PladumEVm001291",8.841,9.254,7.3,8.841
"PladumEVm001292",11.426,12.574,14.559,12.574
"PladumEVm001294",23.129,21.774,23.121,23.121
"PladumEVm001296",5.672,5.659,4.745,5.659
"PladumEVm001297",8.231,7.333,5.968,7.333
"PladumEVm001303",8.977,6.776,3.381,6.776
"PladumEVm001312",7.481,8.234,4.13,7.481
"PladumEVm001317",7.178,7.761,5.931,7.178
"PladumEVm001321",7.343,6.818,6.724,6.818
"PladumEVm001325",22.594,20.384,19.265,20.384
"PladumEVm001326",5.47,6.924,6.423,6.423
"PladumEVm001328",18.032,20.436,19.604,19.604
"PladumEVm001330",32.43,33.648,18.689,32.43
"PladumEVm001335",20.806,20.736,22.19,20.806
"PladumEVm001348",30.092,23.975,20.386,23.975
"PladumEVm001349",28.161,22.48,27.777,27.777
"PladumEVm001356",11.042,10.694,8.421,10.694
"PladumEVm001359",6.389,6.34,6.25,6.34
"PladumEVm001360",7.783,6.953,3.953,6.953
"PladumEVm001364",4.79,5.939,5.103,5.103
"PladumEVm001368",6.997,5.672,4.367,5.672
"PladumEVm001371",15.466,12.574,11.283,12.574
"PladumEVm001374",7.593,8.449,8.638,8.449
"PladumEVm001375",9.295,11.791,7.674,9.295
"PladumEVm001376",18.03,18.352,18.632,18.352
"PladumEVm001377",12.577,14.159,12.883,12.883
"PladumEVm001380",7.413,9.078,6.581,7.413
"PladumEVm001383",6.083,5.784,4.641,5.784
"PladumEVm001389",6.495,6.372,3.85,6.372
"PladumEVm001394",30.694,26.543,18.896,26.543
"PladumEVm001398",7.191,8.245,7.154,7.191
"PladumEVm001404",6.316,6.815,6.105,6.316
"PladumEVm001408",18.855,20.774,18.285,18.855
"PladumEVm001411",49.394,46.401,43.815,46.401
"PladumEVm001412",5.67,5.782,5.634,5.67
"PladumEVm001413",9.76,12.241,12.036,12.036
"PladumEVm001415",22.139,19.978,13.928,19.978
"PladumEVm001417",5.258,7.077,6.791,6.791
"PladumEVm001419",9.58,9.252,6.409,9.252
"PladumEVm001431",12.598,12.588,6.123,12.588
"PladumEVm001436",6.435,7.032,9.075,7.032
"PladumEVm001439",4.354,5.081,8.512,5.081
"PladumEVm001444",9.041,10.871,8.123,9.041
"PladumEVm001450",9.324,8.723,9.379,9.324
"PladumEVm001453",5.472,6.255,5.555,5.555
"PladumEVm001454",7.063,10.074,8.198,8.198
"PladumEVm001458",8.033,7.647,6.031,7.647
"PladumEVm001461",7.154,7.982,6.584,7.154
"PladumEVm001466",11.037,12.322,9.36,11.037
"PladumEVm001467",24.645,29.081,39.433,29.081
"PladumEVm001468",15.583,13.801,8.771,13.801
"PladumEVm001484",26.337,32.325,31.846,31.846
"PladumEVm001486",11.942,11.407,8.833,11.407
"PladumEVm001487",6.544,6.646,4.624,6.544
"PladumEVm001492",9.979,11.717,10.498,10.498
"PladumEVm001493",5.282,5.003,4.854,5.003
"PladumEVm001496",6.343,6.049,6.226,6.226
"PladumEVm001499",12.405,9.567,12.741,12.405
"PladumEVm001505",5.842,6.258,5.048,5.842
"PladumEVm001508",15.572,14.272,14.452,14.452
